psid,Q8,Q10,Q12_1,Q12_2,Q12_3,Q12_4,Q12_5,Q12_6,Q12_7,Q12_5_TEXT,voting_flag
9urgGmlF1aV2YjmmdZd55Q**,Ontario Liberal Party,NA,Ontario Liberal Party,Progressive Conservative Party of Ontario,Ontario New Democratic Party,NA,NA,NA,NA,,Contradicting Voters
9urgGmlF1aXL7woTJcotnA**,Ontario Liberal Party,NA,Ontario Liberal Party,NA,NA,NA,NA,NA,NA,,Contradicting Voters
9urgGmlF1aUVc_6uVTdVSA**,NA,Ontario Liberal Party,Ontario Liberal Party,NA,NA,NA,NA,NA,NA,,Contradicting Voters
9urgGmlF1aWxs83C6FH-BA**,Ontario Liberal Party,NA,Ontario Liberal Party,NA,NA,NA,NA,NA,NA,,Contradicting Voters
9urgGmlF1aVILitfNH2omQ**,Ontario Liberal Party,NA,Ontario Liberal Party,NA,NA,NA,NA,NA,NA,,Contradicting Voters
9urgGmlF1aXg9cEbkjeCPQ**,Ontario Liberal Party,NA,Ontario Liberal Party,NA,Ontario New Democratic Party,NA,NA,NA,NA,,Contradicting Voters
9urgGmlF1aVYryuSdJcVpA**,Ontario Liberal Party,NA,Ontario Liberal Party,NA,NA,NA,NA,NA,NA,,Contradicting Voters
9urgGmlF1aUQIhoiwj_QRw**,Ontario Liberal Party,NA,Ontario Liberal Party,NA,NA,NA,NA,NA,NA,,Contradicting Voters
9urgGmlF1aXW9Wr9sEYSaw**,Ontario Liberal Party,NA,Ontario Liberal Party,NA,Ontario New Democratic Party,NA,NA,NA,NA,,Contradicting Voters
9urgGmlF1aV8VYKyAu49dA**,Ontario Liberal Party,NA,Ontario Liberal Party,NA,NA,NA,NA,NA,NA,,Contradicting Voters
9urgGmlF1aXrtgj3J3Zpvw**,Ontario Liberal Party,NA,Ontario Liberal Party,NA,NA,NA,NA,NA,NA,,Contradicting Voters
9urgGmlF1aUK089mmycG8Q**,Ontario Liberal Party,NA,Ontario Liberal Party,NA,NA,NA,NA,NA,NA,,Contradicting Voters
9urgGmlF1aWLrhpQPRM5mQ**,Ontario Liberal Party,NA,Ontario Liberal Party,NA,NA,NA,NA,NA,NA,,Contradicting Voters
9urgGmlF1aXkBK_f0IfqGw**,Ontario Liberal Party,NA,Ontario Liberal Party,NA,NA,NA,NA,NA,NA,,Contradicting Voters
9urgGmlF1aWhmZWuqz3hqQ**,Ontario Liberal Party,NA,Ontario Liberal Party,NA,NA,NA,NA,NA,NA,,Contradicting Voters
9urgGmlF1aVKjX4XnMBehA**,Ontario Liberal Party,NA,Ontario Liberal Party,NA,NA,NA,NA,NA,NA,,Contradicting Voters
9urgGmlF1aUhfEyAWu6xkQ**,Ontario Liberal Party,NA,Ontario Liberal Party,NA,NA,NA,NA,NA,NA,,Contradicting Voters
9urgGmlF1aU8ua1RYF3QHw**,Ontario Liberal Party,NA,Ontario Liberal Party,NA,NA,NA,NA,NA,NA,,Contradicting Voters
