DA2021,total_occupied_private_dwellings_da,single_detached_houses_da,apartment_in_building_plus_5_da,semi_detached_house_da,row_house_da,apartment_in_duplex_da,apartment_in_building_less_5_da,households_more_than_30_da,median_shelter_costs_owned_da,median_shelter_costs_rented_da,single_detached_houses_pct_da,semi_detached_house_pct_da,row_house_pct_da,apartment_in_duplex_pct_da,apartment_in_building_less_5_pct_da,apartment_in_building_plus_5_pct_da,pop_density_da
35010209,205,100,0,15,0,60,30,75,830,800,0.4878048780487805,0.07317073170731707,0,0.2926829268292683,0.14634146341463414,0,4629.430719656283
35010210,290,90,100,10,0,20,70,65,592,612,0.3103448275862069,0.034482758620689655,0,0.06896551724137931,0.2413793103448276,0.3448275862068966,4129.141886151232
35010211,200,120,0,25,0,45,15,45,1140,920,0.6,0.125,0,0.225,0.075,0,2406.7262217551233
35010212,235,95,0,20,5,25,85,50,910,735,0.40425531914893614,0.0851063829787234,0.02127659574468085,0.10638297872340426,0.3617021276595745,0,1669.049320943531
35010213,200,145,0,25,10,0,15,35,830,890,0.725,0.125,0.05,0,0.075,0,2002.3373587845736
35010214,150,125,0,5,0,5,25,25,810,990,0.8333333333333334,0.03333333333333333,0,0.03333333333333333,0.16666666666666666,0,4564.417177914111
35010215,235,135,0,0,45,15,30,30,960,880,0.574468085106383,0,0.19148936170212766,0.06382978723404255,0.1276595744680851,0,3111.211166141378
35010216,200,150,0,5,10,5,20,25,785,1180,0.75,0.025,0.05,0.025,0.1,0,2388.419782870929
35010217,500,245,0,130,105,0,10,80,920,1290,0.49,0.26,0.21,0,0.02,0,816.5639972621492
35010218,190,100,0,10,35,15,25,20,1140,910,0.5263157894736842,0.05263157894736842,0.18421052631578946,0.07894736842105263,0.13157894736842105,0,2603.1215161649943
35010219,220,125,0,10,0,35,50,55,1040,830,0.5681818181818182,0.045454545454545456,0,0.1590909090909091,0.22727272727272727,0,2270.896273917422
35010220,210,165,0,5,0,25,15,55,740,910,0.7857142857142857,0.023809523809523808,0,0.11904761904761904,0.07142857142857142,0,2614.342179559571
35010221,235,170,0,5,0,30,30,55,830,950,0.723404255319149,0.02127659574468085,0,0.1276595744680851,0.1276595744680851,0,1876.216426625146
35010222,240,160,0,20,0,15,45,70,990,1120,0.6666666666666666,0.08333333333333333,0,0.0625,0.1875,0,3856.8450312717164
35010223,280,115,0,10,25,15,120,85,1070,750,0.4107142857142857,0.03571428571428571,0.08928571428571429,0.05357142857142857,0.42857142857142855,0,2133.544053733702
35010224,215,125,0,10,60,5,10,40,860,665,0.5813953488372093,0.046511627906976744,0.27906976744186046,0.023255813953488372,0.046511627906976744,0,3639.705882352941
35010225,365,60,0,30,20,5,250,95,1000,900,0.1643835616438356,0.0821917808219178,0.0547945205479452,0.0136986301369863,0.684931506849315,0,3726.6187050359713
35010226,200,15,0,5,60,0,120,55,NA,850,0.075,0.025,0.3,0,0.6,0,1387.0431893687708
35010227,130,55,0,35,30,0,5,0,665,1300,0.4230769230769231,0.2692307692307692,0.23076923076923078,0,0.038461538461538464,0,2999.0262901655306
35010228,200,165,0,25,0,0,10,0,1300,NA,0.825,0.125,0,0,0.05,0,1364.6147223417993
35010229,265,200,0,20,35,0,5,30,890,1290,0.7547169811320755,0.07547169811320754,0.1320754716981132,0,0.018867924528301886,0,190.7238838318162
35010230,160,160,0,0,0,0,0,0,1150,NA,1,0,0,0,0,0,2307.6923076923076
35010231,180,175,0,0,0,0,0,20,920,NA,0.9722222222222222,0,0,0,0,0,2080.188679245283
35010232,175,170,0,5,0,0,0,30,910,NA,0.9714285714285714,0.02857142857142857,0,0,0,0,1865.9658344283837
35010233,215,210,0,0,0,0,0,20,1160,NA,0.9767441860465116,0,0,0,0,0,2376.5574526995847
35010234,195,190,0,0,0,0,0,25,960,NA,0.9743589743589743,0,0,0,0,0,2447.8649453823236
35010235,235,110,5,10,0,5,105,60,584,900,0.46808510638297873,0.0425531914893617,0,0.02127659574468085,0.44680851063829785,0.02127659574468085,346.63178548070636
35010237,295,75,0,20,0,20,175,120,920,1080,0.2542372881355932,0.06779661016949153,0,0.06779661016949153,0.5932203389830508,0,2284.644194756554
35010238,210,70,0,20,0,35,80,60,608,850,0.3333333333333333,0.09523809523809523,0,0.16666666666666666,0.38095238095238093,0,3415.213946117274
35010239,295,105,0,15,5,40,125,65,592,900,0.3559322033898305,0.05084745762711865,0.01694915254237288,0.13559322033898305,0.423728813559322,0,3792.0101458465438
35010240,185,90,0,45,0,40,15,50,650,860,0.4864864864864865,0.24324324324324326,0,0.21621621621621623,0.08108108108108109,0,4617.169373549884
35010241,225,80,0,10,40,10,90,40,780,920,0.35555555555555557,0.044444444444444446,0.17777777777777778,0.044444444444444446,0.4,0,1820.6707734428473
35010242,210,115,0,5,0,50,40,60,830,870,0.5476190476190477,0.023809523809523808,0,0.23809523809523808,0.19047619047619047,0,4556.025369978858
35010243,220,160,0,20,0,30,10,85,800,1000,0.7272727272727273,0.09090909090909091,0,0.13636363636363635,0.045454545454545456,0,628.481472511504
35010244,260,125,0,10,15,45,75,115,890,870,0.4807692307692308,0.038461538461538464,0.057692307692307696,0.17307692307692307,0.28846153846153844,0,3904.8991354466857
35010245,275,125,0,20,15,35,85,60,790,890,0.45454545454545453,0.07272727272727272,0.05454545454545454,0.12727272727272726,0.3090909090909091,0,3995.7264957264956
35010246,240,85,0,20,20,10,80,50,920,1000,0.3541666666666667,0.08333333333333333,0.08333333333333333,0.041666666666666664,0.3333333333333333,0,1916.0432252701578
35010247,440,40,195,15,25,15,150,135,1140,745,0.09090909090909091,0.03409090909090909,0.056818181818181816,0.03409090909090909,0.3409090909090909,0.4431818181818182,2816.4556962025317
